//NPC	맵번호	x	y	side	(스크립트)펄숫이름
// ------------------------------------------------------------
//                  초보자의길
// ------------------------------------------------------------
428	11001	19	11	2	말도
429	11002	19	13	2	사도
430	11003	14	4	2	아도
431	11004	20	13	2	직도

431	11005	14	16	2	직도
431	11006	14	16	2	직도
431	11007	14	16	2	직도
431	11008	14	16	2	직도
//흉노토벌장군
452	1489	19	9	2	흉노토벌장군




//동부여~평양
//식목도우미
571	2263	132	84	2	식목도우미
571	3178	211	105	2	식목도우미
//사냥이벤트도우미
//439	2263	132	84	2	사냥이벤트도우미
//439	3178	211	105	2	사냥이벤트도우미


//489	632	33	10	2	앙스승띠





// ------------------------------------------------------------
//                  백두촌 관련
// ------------------------------------------------------------
427	46005	8	4	2	성황할머니
427	46006	8	4	2	성황할머니
603	14	74	133	2	백두산상인
603	22	105	184	2	백두산상인
604	46029	9	17	2	초도
605	46039	7	4	2	산예
606	46049	9	11	2	애차
607	46059	12	6	2	공하
608	46011	15	8	2	삼지연놀이자
609	46011	14	14	2	삼지연공부자
610	46069	6	7	2	도철
611	46012	14	10	2	중독된폐한
612	46079	5	7	2	폐한
613	46013	6	5	2	백두산사향장인
614	46088	10	2	2	포뢰
615	46015	5	5	2	백두산선비
616	46014	6	5	2	백두산북장인
617	46099	6	6	2	이문
618	46109	10	10	2	비희
619	46120	7	7	2	백암신선

//상점 npc
8	46001	6	8	1	백두촌주모
620	46003	6	4	2	백두촌대장장이
621	46004	6	4	2	백두촌포목상
623	46007	6	4	2	백두촌잡화상
622	46000	62	14	2	요선도인

624	46002	4	4	2	백두촌푸주한

// ------------------------------------------------------------
//                  신국내성, 신부여성 사냥터 판매
// ------------------------------------------------------------
487	30003	72	48	2	고흉1판매
487	30009	160	117	2	고흉2판매

487	33003	6	87	2	부흉1판매
487	33009	149	55	2	부흉2판매

// ------------------------------------------------------------
//                  고구려 무한 준비실
// ------------------------------------------------------------
427	618	3	5	2	성황할머니
// ------------------------------------------------------------
//                  곰의계곡.
// ------------------------------------------------------------
445	11010	15	6	2	절대곰
447	11010	16	9	2	절대곰옆의웅담

446	11000	13	13	2	어리버리한곰
// ------------------------------------------------------------
//                  인던지하
// ------------------------------------------------------------
427	11700	13	13	2	성황할머니
427	11720	14	8	2	성황할머니
427	11740	13	17	2	성황할머니
// ------------------------------------------------------------
//                  북방나무꾼
// ------------------------------------------------------------
433	30222	5	32	2	북방나무꾼

// ------------------------------------------------------------
//                  설원지방 ( 극지방 확장 )
// ------------------------------------------------------------
417	12249	6	5	2	설원세공사1
418	12264	6	5	2	설원세공사2
419	12276	6	5	2	설원세공사3
420	12288	6	5	2	설원세공사4

421	12248	9	6	2	설원조합사1
422	12263	9	6	2	설원조합사2
423	12275	9	6	2	설원조합사3
424	12287	9	6	2	설원조합사4
// ------------------------------------------------------------
//                  신수의제단
// ------------------------------------------------------------
435	11012	8	8	2	백호제단지기
436	11012	8	24	2	주작제단지기
437	11012	24	8	2	청룡제단지기
438	11012	24	24	2	현무제단지기

// ------------------------------------------------------------
//                  서바이벌달리기 이벤트
// ------------------------------------------------------------
482	12010	5	4	2	노란비서상인
483	12010	95	4	2	소환비서상인
484	12010	95	94	2	동동주상인
